stage	category	calls	total_us	avg_us	max_us
prefill	python_function	31400	2182595.790	69.509	67081.633
prefill	cpu_op	4928	97667.518	19.819	1510.727
prefill	Trace	1	67172.095	67172.095	67172.095
prefill	kernel	628	16726.441	26.634	847.668
prefill	user_annotation	36	7269.665	201.935	258.202
prefill	privateuse1_runtime	538	5512.796	10.247	701.806
prefill	gpu_user_annotation	36	1261.317	35.037	48.403
prefill	privateuse1_driver	111	607.378	5.472	10.944
prefill	gpu_memcpy	13	33.881	2.606	3.120
decode	python_function	34704	1819083.337	52.417	53525.422
decode	cpu_op	4016	55845.109	13.906	339.714
decode	Trace	1	53577.514	53577.514	53577.514
decode	kernel	555	16343.556	29.448	844.188
decode	user_annotation	37	6699.358	181.064	247.595
decode	privateuse1_runtime	411	2803.924	6.822	708.024
decode	gpu_user_annotation	37	1070.590	28.935	34.924
decode	privateuse1_driver	147	698.608	4.752	9.208
all	python_function	66104	4001679.127	60.536	67081.633
all	cpu_op	8944	153512.627	17.164	1510.727
all	Trace	2	120749.609	60374.804	67172.095
all	kernel	1183	33069.997	27.954	847.668
all	user_annotation	73	13969.023	191.356	258.202
all	privateuse1_runtime	949	8316.720	8.764	708.024
all	gpu_user_annotation	73	2331.907	31.944	48.403
all	privateuse1_driver	258	1305.986	5.062	10.944
all	gpu_memcpy	13	33.881	2.606	3.120
